ID	Super_compound_class	Lipid_Category	Compound_type	Main_Class	Common_name	Abbreviation	Chemical_formula	DB_links	SMILES	Synonyms	Systematic_name
1-O-SINAPOYL-BETA-D-GLUCOSE	-	-	Phenylpropanoids	-	1-O-sinapoyl-&beta-D-glucose	-	(C 17);(H 22);(O 10)	(METABOLIGHTS MTBLC16546 NIL |kothari| 3608991478 NIL NIL); (CHEMSPIDER 4444086 NIL |kothari| 3563632139 NIL NIL); (PUBCHEM 5280406 NIL |taltman| 3466375284 NIL NIL); (LIGAND-CPD C01175 NIL |taltman| 3452530589 NIL NIL); (CHEBI 16546 NIL |taltman| 3452363520 NIL NIL)	COC2(\C(\O)=C(C=C(/C=C/C(=O)O[C@H]1([C@H](O)[C@H]([C@@H]([C@H](O1)CO)O)O))/C=2)\OC)	1-O-sinapoyl &beta-D-glucoside	['-']
12-BIS-O-SINAPOYL-BETA-D-GLUCOSIDE	-	-	Compounds	-	1,2-di-O-sinapoyl-&beta-D-glucose	-	(C 28);(H 32);(O 14)	(CHEMSPIDER 4444262 NIL |kothari| 3563632126 NIL NIL); (PUBCHEM 5280665 NIL |taltman| 3466375284 NIL NIL); (CHEBI 27993 NIL |taltman| 3452363454 NIL NIL); (LIGAND-CPD C04275 NIL |kr| 3410284649 NIL NIL)	COC1(\C(\O)=C(C=C(/C=1)/C=C/C(O[C@H]3([C@H](OC(/C=C/C2(/C=C(C(\O)=C(C=2)\OC)/OC))=O)O[C@H](CO)[C@H]([C@@H]3O)O))=O)\OC)	1,2-bis-O-sinapoyl-&beta-D-glucoside	['-']
Glucopyranose	SUPER	-	D-Glucose; D-aldopyranoses	-	D-glucopyranose	-	(C 6);(H 12);(O 6)	(CHEBI 4167 NIL |caspi| 3573407755 NIL NIL)	C([C@@H]1([C@H]([C@@H]([C@H](C(O1)O)O)O)O))O	6-(hydroxymethyl)tetrahydropyran-2,3,4,5-tetraol	['-']
ALPHA-GLUCOSE	Glucopyranose	-	Glucopyranose	-	&alpha-D-glucopyranose	-	(C 6);(H 12);(O 6)	(METABOLIGHTS MTBLC17925 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB03345 NIL |kothari| 3608597114 NIL NIL); (CHEMSPIDER 71358 NIL |kothari| 3563632358 NIL NIL); (CHEBI 17925 NIL |taltman| 3498180761 NIL NIL); (PUBCHEM 79025 NIL |taltman| 3448034169 NIL NIL); (LIGAND-CPD C00267 NIL |kr| 3410284650 NIL NIL)	C(O)[C@H]1(O[C@@H]([C@@H]([C@H]([C@@H]1O)O)O)O)	&alpha-glucose; &alpha-D-glucose	['-']
GLC	Glucopyranose	-	Glucopyranose	-	&beta-D-glucopyranose	-	(C 6);(H 12);(O 6)	(BIGG 33582 NIL |kothari| 3584718837 NIL NIL); (BIGG glc__D NIL |kothari| 3661871748 NIL NIL); (METABOLIGHTS MTBLC15903 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB00516 NIL |kothari| 3608597114 NIL NIL); (DRUGBANK DB02379 NIL |kothari| 3594430420 NIL NIL); (CHEMSPIDER 18802415 NIL |kothari| 3563632415 NIL NIL); (CAS 50-99-7 NIL |taltman| 3458663425 NIL NIL); (CHEBI 15903 NIL |taltman| 3458663425 NIL NIL); (LIGAND-CPD C00221 NIL |taltman| 3458663425 NIL NIL); (PUBCHEM 64689 NIL |taltman| 3458663073 NIL NIL)	C(O)[C@H]1(O[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)1)	&beta-D-glucose; &beta-glucose	['-']
CPD-12575	-	-	NDP-alpha-D-glucoses; NDP-glucoses; UDP-sugar	-	UDP-&alpha-D-glucose	-	(C 15);(H 22);(N 2);(O 17);(P 2)	(BIGG 33576 NIL |kr| 3618349750 NIL NIL); (BIGG udpg NIL |kothari| 3661824226 NIL NIL); (LIGAND-CPD C00029 NIL |kr| 3618349505 NIL NIL); (PUBCHEM 16667346 NIL |kothari| 3599486668 NIL NIL); (CHEMSPIDER 10239191 NIL |kothari| 3563631831 NIL NIL); (CHEBI 58885 NIL |ong| 3523630741 NIL NIL)	C(O)[C@@H]1([C@@H](O)[C@H](O)[C@@H](O)[C@H](O1)OP(OP(=O)([O-])OC[C@H]2(O[C@H]([C@H](O)[C@H](O)2)N3(\C=C/C(=O)NC(=O)3)))([O-])=O)	UDPG; UDP-glucose; UDP-D-glucose	['-']
CPD-4609	-	-	Adenine-Cytokinins	-	kinetin	-	(C 10);(H 9);(N 5);(O 1)	(REFMET Kinetin NIL |midford| 3697479617 NIL NIL); (CHEBI 27407 NIL |kothari| 3641835422 NIL NIL); (HMDB HMDB12245 NIL |kothari| 3608597114 NIL NIL); (CHEMSPIDER 3698 NIL |kothari| 3563632795 NIL NIL); (PUBCHEM 3830 NIL |taltman| 3466375284 NIL NIL); (LIGAND-CPD C08272 NIL |kr| 3410284649 NIL NIL)	C1(\N=C(C2(N\C=N/C(\N=1)=2))\NCC3(\O\C=C/C=3))	['-']	['-']
CPD-4610	-	-	Adenine-Cytokinin-Glucosides	-	kinetin-7-N-glucoside	-	(C 16);(H 19);(N 5);(O 6)	(HMDB HMDB12243 NIL |kothari| 3608597114 NIL NIL); (PUBCHEM 25202817 NIL |taltman| 3466375284 NIL NIL)	C([C@H]1(O[C@@H]([C@@H]([C@H]([C@@H]1O)O)O)N3(C4(C(/NCC2(\O\C=C/C=2))=N\C=N/C(\N=C/3)=4))))O	['-']	['-']
UDP	-	-	Pyrimidines	-	UDP	-	(C 9);(H 11);(N 2);(O 12);(P 2)	(BIGG 33518 NIL |kothari| 3584718837 NIL NIL); (REFMET UDP NIL |midford| 3701443689 NIL NIL); (BIGG udp NIL |kothari| 3661824226 NIL NIL); (METABOLIGHTS MTBLC58223 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB00295 NIL |kothari| 3608602966 NIL NIL); (CHEMSPIDER 16739715 NIL |kothari| 3563631820 NIL NIL); (PUBCHEM 20056717 NIL |taltman| 3451921010 NIL NIL); (CHEBI 58223 NIL |ong| 3523630741 NIL NIL); (KNAPSACK C00007313 NIL |achi1| 3445698173 NIL NIL); (LIGAND-CPD C00015 NIL |kr| 3346617699 NIL NIL); (CAS 58-98-0)	C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(\C=C/C(=O)NC(=O)2))	uridine-diphosphate; uridine-5'-diphosphate	['-']
D-SEDOHEPTULOSE-1-7-P2	-	Sphingolipids	Sugar-bisphosphates	Long-chain base phosphate	D-sedoheptulose 1,7-bisphosphate	-	(C 7);(H 12);(O 13);(P 2)	(REFMET Sedoheptulose 1,7-bisphosphate NIL |midford| 3701443689 NIL NIL); (CHEBI 58335 NIL |kothari| 3641835422 NIL NIL); (PUBCHEM 46878435 NIL |kothari| 3641818093 NIL NIL); (METABOLIGHTS MTBLC58335 NIL |kothari| 3609160997 NIL NIL); (HMDB HMDB60274 NIL |kothari| 3608602467 NIL NIL); (LIGAND-CPD C00447 NIL |kr| 3410284650 NIL NIL)	C(OP(=O)([O-])[O-])[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(COP([O-])(=O)[O-])=O	sedoheptulose 1,7-bisphosphate; SBP	['-']
D-SEDOHEPTULOSE-7-P	-	-	Sugar-Phosphate	-	D-sedoheptulose 7-phosphate	-	(C 7);(H 13);(O 10);(P 1)	(REFMET Sedoheptulose 7-phosphate NIL |midford| 3701443689 NIL NIL); (BIGG s7p NIL |kothari| 3661824226 NIL NIL); (METABOLIGHTS MTBLC57483 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB01068 NIL |kothari| 3608640722 NIL NIL); (BIGG 34485 NIL |kothari| 3584718837 NIL NIL); (LIGAND-CPD C05382 NIL |kothari| 3536420098 NIL NIL); (CHEBI 57483 NIL |ong| 3523630742 NIL NIL); (PUBCHEM 46878379 NIL |ong| 3523387880 NIL NIL); (CAS 2646-35-7)	C(O)C([C@@H](O)[C@@H]([C@H](O)[C@@H](COP(=O)([O-])[O-])O)O)=O	D-Sedoheptulose-7-P; heptulose 7-phosphate; sedoheptulose-7-P; sedo-heptulose-7-phosphate	D-altro-2-heptulose, 7-(dihydrogen phosphate)
Pi	-	-	Phosphates	-	phosphate	-	(H 1);(O 4);(P 1)	(REFMET Phosphoric acid NIL |midford| 3701443689 NIL NIL); (BIGG pi NIL |kothari| 3661824226 NIL NIL); (PUBCHEM 3681305 NIL |kothari| 3619398602 NIL NIL); (CHEBI 43474 NIL |kothari| 3609163837 NIL NIL); (METABOLIGHTS MTBLC43474 NIL |kothari| 3609160995 NIL NIL); (HMDB HMDB00973 NIL |kothari| 3608597114 NIL NIL); (KNAPSACK C00007408 NIL |rleitao| 3434750086 NIL NIL); (LIGAND-CPD C00009 NIL |kr| 3346617699 NIL NIL); (CAS 14265-44-2)	[O-]P(=O)(O)[O-]	inorganic phosphate; phosphate-inorganic; Pi; orthophosphate; PO43-; HPO42-; HPO4-2	['-']
CPD-2189	-	Glycerolipids	Monogalactosyldiacylglycerols-34-4	Monohexosyldiacylglycerol	1-18:2-2-16:2-monogalactosyldiacylglycerol	18:2-16:2-MGDG	(C 43);(H 74);(O 10)	(CHEBI 83006 NIL |kothari| 3641835422 NIL NIL); (PUBCHEM 86290020 NIL |kothari| 3641818092 NIL NIL)	CCCCC\C=C/C\C=C/CCCCCCCC(OC[C@H](CO[C@@H]1(O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO))OC(CCCCC\C=C/C\C=C/CCCCC)=O)=O	18:2-16:2-MGDG; 1-(9Z,12Z-octadecadienoyl)-2-(7Z,10Z-hexadecadienoyl)-3-O-beta-D-galactosyl-sn-glycerol	['-']
CPD-8080	-	Glycerolipids	Monogalactosyldiacylglycerols-34-5	Monohexosyldiacylglycerol	1-18:2-2-16:3-monogalactosyldiacylglycerol	18:2-16:3-MGDG	(C 43);(H 72);(O 10)	(PUBCHEM 90657314 NIL |kothari| 3641818093 NIL NIL)	CCCCC\C=C/C\C=C/CCCCCCCC(OC[C@H](CO[C@@H]1(O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO))OC(CCCCC\C=C/C\C=C/C\C=C/CC)=O)=O	18:2-16:3-MGDG; 1-(9Z,12Z-octadecadienoyl)-2-(7Z,10Z,13Z-hexadecatrienoyl)-3-O-beta-D-galactosyl-sn-glycerol	['-']
CPD-12391	-	-	CPD-19475	-	(E)-1-(L-cysteinylglycin-S-yl)-N-hydroxy-&omega-(methylsulfanyl)butan-1-imine	-	(C 10);(H 19);(N 3);(O 4);(S 2)	(CHEBI 136825 NIL |kothari| 3716218713 NIL NIL); (PUBCHEM 90658957 NIL |kothari| 3641818092 NIL NIL)	CSCCCC(/SC[C@H]([NH3+])C(=O)NCC([O-])=O)=N\O	['-']	['-']
CPD-7546	-	-	Compounds	-	(E)-1-(L-cystein-S-yl)-N-hydroxy-&omega-(methylsulfanyl)butan-1-imine	-	(C 8);(H 16);(N 2);(O 3);(S 2)	(PUBCHEM 91820133 NIL |kothari| 3651883220 NIL NIL)	CSCCCC(\SC[C@H]([NH3+])C(=O)[O-])=N\O	['-']	['-']
Alkanes	SUPER	-	Hydrocarbons	-	alkane	-	['-']	(LIGAND-CPD C01371 NIL |kothari| 3498919808 NIL NIL); (CHEBI 18310 NIL |dreher| 3427579103 NIL NIL)	C[R]	paraffin	['-']
Branched-Alkanes	Alkanes	-	Alkanes	-	branched alkane	-	['-']	-	C[R]	['-']	['-']
Very-Long-Chain-Alkanes	Alkanes	-	Alkanes	-	very long-chain alkane	-	['-']	-	C(CCCCCCCCCCCCCCCCCCCCCC)[R]	['-']	['-']
Secondary-Alcohols	SUPER	-	Alcohols	-	secondary alcohol	-	['-']	(CHEBI 35681 NIL |caspi| 3546021653 NIL NIL); (LIGAND-CPD C00432 NIL |taltman| 3466371734 NIL NIL)	C([R1])C(O)C[R2]	['-']	['-']
S-Secondary-Alcohols	Secondary-Alcohols	-	Secondary-Alcohols	-	(S)-secondary alcohol	-	['-']	-	C([R1])[C@H](O)C[R2]	['-']	['-']
CPD-326	Secondary-Alcohols	-	Secondary-Alcohols; Short-Chain-Alcohols	-	butan-2-ol	-	(C 4);(H 10);(O 1)	(HMDB HMDB11469 NIL |kothari| 3608597114 NIL NIL); (DRUGBANK DB02606 NIL |kothari| 3594430434 NIL NIL); (CHEMSPIDER 6320 NIL |kothari| 3563632725 NIL NIL); (PUBCHEM 6568 NIL |taltman| 3466375284 NIL NIL); (CHEBI 35687 NIL |taltman| 3452363327 NIL NIL)	CCC(O)C	2-butyl alcohol; 1-methylpropyl alcohol; 1-methyl-1-propanol; 2-butanol; sec-butyl alcohol; butylene hydrate; methyl ethyl carbinol; 2-hydroxybutane	['-']
CPD-18991	Secondary-Alcohols	-	Secondary-Alcohols; Short-Chain-Alcohols	-	pentan-2-ol	-	(C 5);(H 12);(O 1)	(CHEBI 77518 NIL |caspi| 3663454295 NIL NIL)	CCCC(O)C	2-pentyl alcohol; 2-pentanol	['-']
CPD-12749	Secondary-Alcohols	-	Medium-Chain-Alcohols; Secondary-Alcohols	-	decan-2-ol	-	(C 10);(H 22);(O 1)	(CHEMSPIDER 13616 NIL |kothari| 3563632492 NIL NIL); (PUBCHEM 14254 NIL |ong| 3523387880 NIL NIL)	CCCCCCCCC(O)C	2-decanol	['-']
3-METHYLTHIOPROPYLHYDROXAMIC-ACID	-	-	Aliphatic-Aldoximes; n-methylthioalkylhydroximate	-	(E)-&omega-(methylsulfanyl)butyl-thiohydroximate	-	(C 5);(H 11);(N 1);(O 1);(S 2)	(CHEBI 80984 NIL |kothari| 3641835422 NIL NIL); (LIGAND-CPD C17243 NIL |taltman| 3497980106 NIL NIL); (PUBCHEM 25202476 NIL |taltman| 3466375284 NIL NIL)	CSCCCC(/S)=N\O	(E)-N-hydroxy-4-(methylsulfanyl)butimidothioate	['-']
CPD-12607	-	-	Dipeptides-With-C-Terminal-glycine	-	L-seryl-glycine	-	(C 5);(H 10);(N 2);(O 4)	(PUBCHEM 7009643 NIL |kothari| 3641818092 NIL NIL); (METABOLIGHTS MTBLC74814 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB29039 NIL |kothari| 3594494449 NIL NIL); (CHEBI 74814 NIL |kothari| 3594046690 NIL NIL)	C(O)[C@H]([NH3+])C(=O)NCC([O-])=O	['-']	['-']
OH-PYR	-	-	Compounds	-	hydroxypyruvate	-	(C 3);(H 3);(O 4)	(REFMET Hydroxypyruvic acid NIL |midford| 3701443689 NIL NIL); (BIGG hpyr NIL |kothari| 3661824226 NIL NIL); (METABOLIGHTS MTBLC17180 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB01352 NIL |kothari| 3608601886 NIL NIL); (CHEMSPIDER 3397158 NIL |kothari| 3563632188 NIL NIL); (PUBCHEM 4186339 NIL |taltman| 3466375285 NIL NIL); (CHEBI 17180 NIL |taltman| 3452363343 NIL NIL); (LIGAND-CPD C00168 NIL |kr| 3346617701 NIL NIL); (CAS 1113-60-6)	C(C(=O)C([O-])=O)O	&beta-hydroxypyruvate; OH-pyruvate; OH-pyr; 3-hydroxypyruvate	['-']
GLYOX	2-Oxo-carboxylates	-	2-Oxo-carboxylates	-	glyoxylate	-	(C 2);(H 1);(O 3)	(CHEBI 36655 NIL |kothari| 3716218713 NIL NIL); (REFMET Glyoxylic acid NIL |midford| 3701443689 NIL NIL); (BIGG glx NIL |kothari| 3661824225 NIL NIL); (METABOLIGHTS MTBLC36655 NIL |kothari| 3609160995 NIL NIL); (HMDB HMDB00119 NIL |kothari| 3608601662 NIL NIL); (KNAPSACK C00001186); (PUBCHEM 3614358 NIL |taltman| 3466375285 NIL NIL); (LIGAND-CPD C00048 NIL |kr| 3346617698 NIL NIL); (CAS 298-12-4)	C(C(=O)[O-])=O	glyoxalate; glyox; glyoxylic acid	['-']
SER	Amino-Acids-20	-	Amino-Acids-20; L-Amino-Acids; Neutral-Amino-Acids; Serines; Uncharged-polar-amino-acids	-	L-serine	ser	(C 3);(H 7);(N 1);(O 3)	(REFMET Serine NIL |midford| 3697479617 NIL NIL); (BIGG ser__L NIL |kothari| 3661871748 NIL NIL); (METABOLIGHTS MTBLC33384 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB00187 NIL |kothari| 3608597114 NIL NIL); (CHEBI 33384 NIL |taltman| 3498180761 NIL NIL); (PUBCHEM 6857581 NIL |taltman| 3497976212 NIL NIL); (LIGAND-CPD C00065 NIL |kaipa| 3311532639 NIL NIL); (CAS 56-45-1)	C(O)[C@H]([NH3+])C(=O)[O-]	S; serine; L-ser	['-']
D-Galactopyranuronate	SUPER	-	D-GALACTURONATE; Pyranuronates	-	D-galactopyranuronate	-	(C 6);(H 9);(O 7)	(CHEBI 4153 NIL |caspi| 3584902003 NIL NIL)	C([C@@H]1([C@@H]([C@@H]([C@H](C(O1)O)O)O)O))([O-])=O	D-galactopyranuronic acid	['-']
CPD-12524	D-Galactopyranuronate	-	D-Galactopyranuronate	-	&beta-D-galacturonate	-	(C 6);(H 9);(O 7)	(CHEBI 85312 NIL |kothari| 3641835422 NIL NIL); (CHEMSPIDER 5360184 NIL |kothari| 3563631956 NIL NIL); (PUBCHEM 6992022 NIL |ong| 3523387880 NIL NIL)	C([O-])(=O)[C@@H]1([C@@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)	&beta-D-galacturonic acid	['-']
CPD-12523	D-Galactopyranuronate	-	D-Galactopyranuronate	-	&alpha-D-galacturonate	-	(C 6);(H 9);(O 7)	(CHEMSPIDER 10058219 NIL |kothari| 3563631867 NIL NIL); (PUBCHEM 11883891 NIL |ong| 3523387880 NIL NIL); (CHEBI 58658 NIL |caspi| 3489331224 NIL NIL)	C([O-])(=O)[C@@H]1([C@@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)	&alpha-D-galacturonic acid	['-']
CPD-15633	-	-	D-GALACTURONATE	-	aldehydo-D-galacturonate	-	(C 6);(H 9);(O 7)	(REFMET Galacturonic acid NIL |midford| 3701443689 NIL NIL); (PUBCHEM 1593918 NIL |kothari| 3619398530 NIL NIL); (CHEBI 12952 NIL |kothari| 3608052289 NIL NIL)	C(=O)[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)[O-]	['-']	['-']
PALMITATE	-	Fatty acyls	Even-Straight-Chain-234-Sat-FA; Long-Chain-234-Saturated-Fatty-Acids; Saturated-Fatty-Acids	Non-esterified fatty acid	palmitate	hexadecanoate (n-C16:0)	(C 16);(H 31);(O 2)	(REFMET Palmitic acid NIL |midford| 3701443689 NIL NIL); (BIGG hdca NIL |kothari| 3661824226 NIL NIL); (METABOLIGHTS MTBLC7896 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB00220 NIL |kothari| 3594494375 NIL NIL); (CHEMSPIDER 440215 NIL |kothari| 3563631569 NIL NIL); (CHEBI 7896 NIL |ong| 3523630742 NIL NIL); (PUBCHEM 504166 NIL |taltman| 3466375285 NIL NIL); (|Wikipedia| Palmitic_acid NIL |caspi| 3426256326 NIL NIL); (LIGAND-CPD C00249 NIL |keseler| 3342470915 NIL NIL); (CAS 57-10-3)	CCCCCCCCCCCCCCCC([O-])=O	hexadecanoate (n-C16:0); palmitic acid; hexadecanoate; hexadecanoic acid	['-']
Red-NADPH-Hemoprotein-Reductases	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
16-HYDROXYPALMITATE	-	Fatty acyls	Omega-Hydroxy-long-Chain-Fatty-Acid	Non-esterified fatty acid	16-hydroxypalmitate	NEFA-miss	(C 16);(H 31);(O 3)	(REFMET Juniperic acid NIL |midford| 3701443689 NIL NIL); (HMDB HMDB06294 NIL |kothari| 3608597114 NIL NIL); (CHEMSPIDER 5414440 NIL |kothari| 3563631944 NIL NIL); (CHEBI 55329 NIL |taltman| 3498180761 NIL NIL); (PUBCHEM 7058075 NIL |taltman| 3466375284 NIL NIL)	C(CCCCCCCCCCCCCCC([O-])=O)O	16-hydroxy-hexadecanoate; &omega-hydroxy-hexadecanoate; &omega-hydroxy-palmitate; juniperate	['-']
Ox-NADPH-Hemoprotein-Reductases	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
CPD-17638	-	Fatty acyls	HYDROXY-ACYL-COA; Medium-Chain-234-Saturated-acyl-CoAs	Acyl-Coenzyme A	7-hydroxylauroyl-CoA	-	(C 33);(H 54);(N 7);(O 18);(P 3);(S 1)	(PUBCHEM 91819849 NIL |kothari| 3651883219 NIL NIL)	CCCCCC(O)CCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]	7-hydroxydodecanoyl-CoA	['-']
MALONYL-COA	-	Fatty acyls	All-Coas	Acyl-Coenzyme A	malonyl-CoA	-	(C 24);(H 33);(N 7);(O 19);(P 3);(S 1)	(REFMET Malonyl-CoA NIL |midford| 3701443689 NIL NIL); (BIGG malcoa NIL |kothari| 3661824226 NIL NIL); (PUBCHEM 45266608 NIL |kothari| 3641818093 NIL NIL); (METABOLIGHTS MTBLC57384 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB01175 NIL |kothari| 3608602624 NIL NIL); (CHEBI 57384 NIL |caspi| 3593875462 NIL NIL); (LIGAND-CPD C00083 NIL |kr| 3346617699 NIL NIL); (CAS 524-14-1)	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)[O-])COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]	malonyl coenzyme A	['-']
CPD-17645	-	-	HYDROXYLATED-TETRAKETIDE-PYRONE	-	2-(8-hydroxy-2-oxotridecyl)-6-oxopyran-4-olate	-	(C 18);(H 27);(O 5)	(PUBCHEM 91820015 NIL |kothari| 3651883219 NIL NIL)	CCCCCC(O)CCCCCC(=O)CC1(\OC(=O)/C=C(\C=1)/[O-])	['-']	['-']
